id,STAR_WHITE_DWARF,STAR_CATY_VAR,STAR_BROWN_DWARF,SERENDIPITY_RED,REDDEN_STD,STAR_BHB,GALAXY,SERENDIPITY_DISTANT,QSO,SKY,STAR_RED_DWARF,ROSAT_D,STAR_PN,SERENDIPITY_FIRST,STAR_CARBON,SPECTROPHOTO_STD,STAR_SUB_DWARF,SERENDIPITY_MANUAL,SERENDIPITY_BLUE
199991,7.7945367e-07,7.3082e-08,0.00051394146,0.04362025,3.40515e-08,6.182276e-06,1.059987e-06,1.194931e-05,0.00018752804,1.9630402e-08,0.9553329,0.00022752673,6.0491095e-10,3.8906096e-06,2.1168216e-06,5.9240335e-07,1.7305638e-08,7.7078286e-05,1.4041832e-05
199992,6.7630965e-05,4.5393613e-06,2.9756984e-07,2.6668877e-05,9.191427e-05,5.095735e-08,0.00023638079,0.006154142,0.5017306,8.065432e-07,2.6745669e-05,0.18899205,1.030986e-05,0.29977852,0.00010830282,1.2315444e-07,1.261843e-07,0.00028676557,0.0024840354
199993,2.6546186e-06,3.565264e-08,8.719708e-09,3.032661e-10,4.5470274e-06,1.2689254e-08,0.995883,1.8647283e-08,2.8002862e-05,2.7592202e-07,1.9169237e-09,0.0017227123,4.6055124e-08,0.002354873,3.391809e-07,4.8878763e-07,2.133232e-09,3.1236814e-06,5.476851e-09
199994,5.9756326e-06,9.3437106e-05,1.623306e-09,1.2442985e-07,9.063833e-08,3.735684e-08,2.9786608e-07,0.00035468713,0.17944595,4.906358e-10,8.616033e-07,0.010159328,1.6758237e-06,0.015310515,1.5622776e-08,2.384696e-10,4.356074e-09,5.8321993e-06,0.79462117
199995,1.8191114e-08,5.2191707e-10,2.7083664e-07,4.1802916e-05,4.0909878e-08,1.4648714e-07,1.5230087e-07,1.0404948e-06,0.000101851576,6.786059e-09,0.9984523,0.001377883,6.847372e-10,1.6670987e-05,2.106362e-08,4.5178004e-09,5.78175e-09,1.246734e-06,6.636461e-06
199996,0.0007509814,2.5583504e-06,4.9359485e-09,3.4767573e-09,0.99075365,0.0015357,6.46106e-06,3.0944855e-06,0.000590245,1.4084084e-07,1.6721714e-08,0.0063105896,2.6136067e-07,2.0996995e-05,4.649448e-07,1.3775841e-05,1.813156e-08,1.8409725e-07,1.0730447e-05
199997,0.0032177265,0.0001652866,3.768656e-07,5.281383e-06,2.398809e-07,0.00014932155,1.8667527e-06,0.34983382,0.0033571317,4.5460546e-08,4.592507e-06,0.0041707125,1.17537675e-05,0.0006820891,2.4353894e-06,1.2404397e-08,1.042866e-06,0.0001890363,0.63820726
199998,4.7092697e-05,1.923792e-06,5.548201e-08,7.434587e-08,5.5957575e-05,0.00029652784,4.371573e-06,2.4413775e-06,7.2910996e-05,7.672982e-09,6.283744e-07,0.0007809045,5.600038e-09,1.2124056e-06,1.4102314e-07,0.99873024,7.17287e-08,1.4324202e-07,5.231649e-06
199999,9.589055e-07,2.86631e-09,1.5884257e-08,1.2810718e-09,9.315104e-09,1.1754427e-06,0.999428,6.986801e-08,0.0003803277,1.1414541e-08,1.8232143e-08,0.00016648324,1.8269692e-09,2.1855829e-05,1.3432414e-08,8.644123e-07,3.7586565e-09,1.46027626e-08,1.1994055e-07
200000,0.0013189989,0.004511948,2.3344676e-08,5.232406e-07,3.1401385e-06,8.018132e-05,1.0628174e-06,0.00019627159,0.38887584,6.133603e-08,1.7179714e-06,0.027520502,6.102075e-06,0.0654767,4.0568107e-06,1.7652763e-09,1.8172643e-07,6.105893e-06,0.51199657
200001,8.779701e-06,0.9966107,6.8053208e-09,7.770638e-11,1.9042598e-06,7.124237e-08,9.309795e-05,3.230016e-06,0.00051386165,1.7926565e-07,2.2417108e-08,0.0022834062,2.978725e-08,9.565687e-06,4.1892417e-06,4.907557e-06,0.00045740936,2.7057388e-07,8.446077e-06
200002,8.213464e-07,8.967275e-10,2.1349763e-08,7.7271045e-10,3.452664e-07,9.408214e-08,0.99918455,1.4937207e-08,2.1451353e-05,1.3064054e-07,5.656164e-09,0.0003550285,2.2291808e-08,0.000437011,2.1717723e-08,1.1539592e-07,1.9028528e-09,3.9901735e-07,5.9821836e-09
