id,STAR_WHITE_DWARF,STAR_CATY_VAR,STAR_BROWN_DWARF,SERENDIPITY_RED,REDDEN_STD,STAR_BHB,GALAXY,SERENDIPITY_DISTANT,QSO,SKY,STAR_RED_DWARF,ROSAT_D,STAR_PN,SERENDIPITY_FIRST,STAR_CARBON,SPECTROPHOTO_STD,STAR_SUB_DWARF,SERENDIPITY_MANUAL,SERENDIPITY_BLUE
199991,4.112798e-06,2.3054783e-06,0.00020295428,0.114184394,7.886528e-06,4.1702287e-06,1.2786853e-06,9.715501e-06,7.411616e-05,3.431655e-08,0.88489985,0.0004131093,5.9879643e-09,2.9031504e-05,3.2569587e-06,1.0028045e-05,3.5316021e-09,0.00013350086,2.0308777e-05
199992,2.6982016e-06,3.1470556e-08,1.02862815e-10,3.683986e-08,3.3800223e-08,4.666678e-08,7.601872e-05,2.7813374e-05,0.8720479,1.0191558e-06,1.3196836e-07,0.048318595,2.452785e-07,0.078862526,3.902606e-05,3.4540843e-08,2.4148536e-10,1.192554e-06,0.00062263274
199993,9.709527e-07,2.4329986e-06,1.7806776e-09,1.5722998e-09,4.750727e-06,4.7464815e-07,0.99842083,7.731051e-08,1.9651203e-05,5.0817766e-07,1.8774229e-09,0.0013679845,2.0511506e-09,0.00017744201,7.260679e-07,6.789192e-07,1.4655565e-08,1.2264773e-06,2.1003084e-06
199994,1.8579844e-05,5.6103e-05,2.0237073e-10,1.11566735e-07,1.028169e-06,1.6117041e-06,1.4674153e-05,0.00058186403,0.14115106,6.972974e-07,4.6686554e-07,0.021839023,1.9699369e-06,0.016847422,4.94046e-07,4.1284477e-07,2.9673359e-08,1.9026916e-06,0.81948256
199995,1.2717862e-08,1.3106344e-07,3.7373943e-07,2.0919148e-05,1.3239482e-07,7.384204e-08,3.464204e-07,9.001212e-06,5.9598842e-05,2.4138268e-08,0.9982101,0.0016763048,1.7410397e-12,1.1175898e-05,2.2186217e-07,1.8172494e-07,1.1411634e-09,1.5445572e-08,1.1471704e-05
199996,0.0010436437,1.6931496e-07,5.804775e-10,2.9457806e-07,0.9756655,0.004221693,1.6284337e-05,4.081882e-05,0.001312545,8.7369365e-09,5.3201965e-08,0.017648766,9.584449e-10,1.10005685e-05,8.089089e-07,1.0078163e-05,2.7958825e-07,9.971622e-08,2.8051905e-05
199997,0.00026372363,5.492289e-05,8.342725e-09,1.1814872e-06,7.6824034e-07,2.6133416e-06,7.77605e-06,0.27314058,0.0021521563,2.5780348e-06,5.088135e-06,0.004593597,2.9597568e-06,0.00048543824,1.0783966e-07,2.204375e-07,5.369584e-09,0.0023006194,0.7169857
199998,3.434623e-05,4.0183426e-07,2.5463345e-10,2.3663778e-08,1.42374265e-05,0.00015226673,3.4602494e-06,3.5084674e-06,0.0001404341,3.1291e-11,1.4081891e-07,0.0014836554,1.01893466e-10,1.0361638e-06,4.550019e-07,0.99815553,5.3409877e-09,4.6857792e-07,9.9849285e-06
199999,2.81837e-06,1.832824e-06,2.4591107e-09,3.301226e-10,7.940785e-06,5.2189243e-06,0.99876225,7.787856e-08,0.00028846745,4.485251e-08,3.6595996e-10,0.0009130705,1.5092638e-08,9.825396e-06,4.9946505e-07,5.6143062e-06,1.7569043e-07,9.170965e-08,2.0231462e-06
200000,0.00068063696,0.006014442,4.0648343e-10,5.3843937e-08,5.5171304e-06,4.289472e-05,4.182525e-05,0.00013667427,0.4428485,4.0768987e-07,7.649878e-08,0.01633261,5.1664034e-07,0.07027697,9.374051e-06,3.0863355e-06,2.7035062e-06,5.498119e-07,0.46360317
